0,1,0,"
Stayed in the hotel for 10 days..awesome experience..excellent food and great ambience..rooms and room service are great..i really liked the place..
",stayed hotel 10 days..awesome experience..excellent food great ambience..rooms room service great..i really liked place..,Positive
1,2,0,"
hospitality is remakable, service is good,food served is fresh,menu price is not too high and the quantity is more than sufficient.
","hospitality remakable , service good , food served fresh , menu price high quantity sufficient .",Positive
2,3,0,"
If you have work in East Delhi then it is a very good hotel at reasonable tariff.",work east delhi good hotel reasonable tariff .,Positive
3,3,0,"Even you can easily organise family parties as well.
",even easily organise family parties well .,Positive
4,4,0,"
Stayed here over a night last year.",stayed night last year .,Neutral
5,4,0,Decent hotel with all basic amenities available.,decent hotel basic amenities available .,Positive
6,4,0,The rooms were surprisingly bigger than expected.,rooms surprisingly bigger expected .,Negative
7,4,0,"Good bed, bathroom, & nice view available.","good bed , bathroom , & nice view available .",Positive
8,4,0,Cons about the room are the carpets which were very old and dirty.,cons room carpets old dirty .,Negative
9,4,0,"The hotel is a brand now, so you can expect a fair crowd all the time.","hotel brand , expect fair crowd time .",Positive
10,4,0,"The buffet dinner&Bf were good; could improve a bit on the sweeter side of menu.Another annoying thing i had was waiting for fresh juice, we had to stand in queue; as there machine was primitive.Nothing much happening outside,its kind of in middle of nowhere.","buffet dinner & bf good ; could improve bit sweeter side menu.another annoying thing waiting fresh juice , stand queue ; machine primitive.nothing much happening outside , kind middle nowhere .",Positive
11,4,0,The hotel has a pool side bar/restaurant.,hotel pool side bar/restaurant .,Neutral
12,4,0,"All in all a nice hotel,would recommend it for sure.
","nice hotel , would recommend sure .",Positive
13,5,0,"
I stayed at this hotel this Saturday with my wife.",stayed hotel saturday wife .,Neutral
14,5,0,"Upon reaching the hotel, the receptionist told me that the room allotment would take time since the guests were about to check out.","upon reaching hotel , receptionist told room allotment would take time since guests check .",Neutral
15,5,0,On my request they allotted me a room as fast as they could.,request allotted room fast could .,Positive
16,5,0,"The room was very nice, big and had all the facilities.","room nice , big facilities .",Positive
17,5,0,It was very clean and tidy.,clean tidy .,Positive
18,5,0,In fact it was one of the best rooms I have stayed at that price.,fact one best rooms stayed price .,Positive
19,5,0,"The hotel has a lot of eating options like Tatva which is their a la carte restaurant, 64/6 which is a buffet restaurant, Cafe J for those coffee and pastry cravings, and Kebab Factory.","hotel lot eating options like tatva la carte restaurant , 64/6 buffet restaurant , cafe j coffee pastry cravings , kebab factory .",Neutral
20,5,0,They also have a pool side restaurant called 3B's.,also pool side restaurant called 3b .,Neutral
21,5,0,Overall a good experience staying at this property.,overall good experience staying property .,Positive
22,5,0,"Only one thing that they should be able to manage their reception area well as it gets really very crowded and chaotic especially due to the functions and parties that happen in this hotel.
",one thing able manage reception area well gets really crowded chaotic especially due functions parties happen hotel .,Positive
23,6,0,"
Staff are not courteous, they pretend that they didn't listen you.Food is OK.Variety is too much.It is only vegetarian.
","staff courteous , pretend n't listen you.food ok.variety much.it vegetarian .",Negative
24,7,0,"
It was a great hotel and great worth for money.The hotel has a nice ambiance and has really great rooms.
",great hotel great worth money.the hotel nice ambiance really great rooms .,Positive
25,8,0,"
excellent presentation of starters, varieties of meal, quick services & cozy environment.But my family like so much because of its vegetarian preparation only.
","excellent presentation starters , varieties meal , quick services & cozy environment.but family like much vegetarian preparation .",Positive
26,9,0,"
I was amazed by their service and cleanliness.",amazed service cleanliness .,Neutral
27,9,0,I had attended a family function at the dinner time.,attended family function dinner time .,Neutral
28,9,-1,The preparation and the taste of the food was excellent.,preparation taste food excellent .,Positive
29,9,0,All items in the dinner were superb.,items dinner superb .,Positive
30,9,0,"The services was good.
",services good .,Positive
31,10,2,"
We ordered 3Bs snacks platter...",ordered 3bs snacks platter ...,Neutral
32,10,0,The plate was so huge that the portions looked tiny on it.,plate huge portions looked tiny .,Positive
33,10,0,I laughed inside seeing what blunder are they making.Saturdays are Sufi nights here.,laughed inside seeing blunder making.saturdays sufi nights .,Positive
34,10,0,They have virtual DJ and soothing music.,virtual dj soothing music .,Neutral
35,10,-1,It nice place to visit if you ignore the food which is not so great so is the service.,nice place visit ignore food great service .,Positive
36,10,0,"Recommended to experience the feel of the restaurant.Food 2/5Ambiance 4.5/5Service 3/5Value for money 3.5/5 ( 3.5 because of the ambiance)
",recommended experience feel restaurant.food 2/5ambiance 4.5/5service 3/5value money 3.5/5 ( 3.5 ambiance ),Neutral
37,11,0,"
Dear traveler, this hotel is not for non vegans....but for vegans and Jain food lovers its a boon.","dear traveler , hotel non vegans ... vegans jain food lovers boon .",Neutral
38,11,0,The hotel is a bit big for ghaziabad region.,hotel bit big ghaziabad region .,Neutral
39,11,0,Service is good as usual.,service good usual .,Positive
40,11,0,The parking lot is congested.,parking lot congested .,Neutral
41,11,0,Location wise the hotel is situated in a prime area.,location wise hotel situated prime area .,Positive
42,11,0,"Access to Newdelhi, noida and greater noida is good.","access newdelhi , noida greater noida good .",Positive
43,11,0,There are malls and other restaurants near by.,malls restaurants near .,Negative
44,11,0,Now for business this hotel has a well equipped conference rooms and banquet halls.,business hotel well equipped conference rooms banquet halls .,Neutral
45,11,-1,The restaurant and the dining area is on the sub ground level.,restaurant dining area sub ground level .,Neutral
46,11,0,The vegan delicacies prepared by the kitchen is fabulous.,vegan delicacies prepared kitchen fabulous .,Positive
47,11,-1,I personally astonished seeing the vegetarian menu.,personally astonished seeing vegetarian menu .,Neutral
48,11,-1,The dishes from all around the sub continent is served at is perfection.,dishes around sub continent served perfection .,Neutral
49,11,-1,Price is affordable for business related travelers.,price affordable business related travelers .,Neutral
50,11,0,Standard room starts from 3800+ taxes per day.,standard room starts 3800+ taxes per day .,Neutral
51,11,0,This is the 1st star rated vegetarian hotel on India.,1st star rated vegetarian hotel india .,Neutral
52,11,0,"Enjoy your stay.
",enjoy stay .,Positive
53,12,0,"
On check-in I was upgraded to a suite room which got me excited.",check-in upgraded suite room got excited .,Positive
54,12,0,"On entering my room, it was nice ie typical of a five star.","entering room , nice ie typical five star .",Positive
55,12,0,The disappointing part was the bathroom.,disappointing part bathroom .,Negative
56,12,0,There was no water pressure in the taps or the shower.,water pressure taps shower .,Neutral
57,12,0,Hot water was practically not flowing.,hot water practically flowing .,Positive
58,12,0,Not expected from carlson or any give star and that to in a suite room.I waited for morning hoping the master would be resolved .,expected carlson give star suite room.i waited morning hoping master would resolved .,Positive
59,12,0,I then called house keeping who promptly came to the room.,called house keeping promptly came room .,Neutral
60,12,0,"Checked all the faucets, acknowledged the problem and disappeared.","checked faucets , acknowledged problem disappeared .",Neutral
61,12,0,Since I was in a the morning rush I had no choice but to take a bath in the dripping water shower and move on.,since morning rush choice take bath dripping water shower move .,Neutral
62,12,0,The breakfast area was also very messy.,breakfast area also messy .,Negative
63,12,0,There was a big crowd from a wedding previous evening and the staff had lost interest to serve any guest sitting on tables.,big crowd wedding previous evening staff lost interest serve guest sitting tables .,Negative
64,12,0,"These incidents kill the charm of staying in a five star hotel. 
",incidents kill charm staying five star hotel .,Neutral
65,13,0,"
It is one of the few Vegetarian Five star Hotel you can find in Delhi -NCR.",one vegetarian five star hotel find delhi -ncr .,Negative
66,13,0,"Ambiance is good and well connected and easily located.One must try the Buffet which gives you and your family so much choice that you will wonder why this place was not visited earlier
",ambiance good well connected easily located.one must try buffet gives family much choice wonder place visited earlier,Positive
67,14,0,"
Staff is very good, rooms are clean and room service is also good.","staff good , rooms clean room service also good .",Positive
68,14,0,"The restaurant also have the good taste and quality food.
",restaurant also good taste quality food .,Positive
69,15,0,"
I have stayed there for 10 days.",stayed 10 days .,Neutral
70,15,0,Summarizing it in short.,summarizing short .,Neutral
71,15,0,"Room excellent, food is excellent.","room excellent , food excellent .",Positive
72,15,0,"If you are vegetarian, then its awesome.","vegetarian , awesome .",Positive
73,15,0,"""If you are looking for non-veg, WRONG Hotel"".","`` looking non-veg , wrong hotel '' .",Negative
74,15,0,"Service is all good, very polite and caring as well.","service good , polite caring well .",Positive
75,15,0,Dining area is one of its best.,dining area one best .,Positive
76,15,2,What really lacking the courtesy !!,really lacking courtesy ! !,Positive
77,15,0,"Let me share, what has happened with me.","let share , happened .",Neutral
78,15,0,"I wanted to extend my stay for couple of more weeks, as I alread stayed for 10 days there, and I started liking it.","wanted extend stay couple weeks , alread stayed 10 days , started liking .",Positive
79,15,0,"They told me "" Sir, there is no room available for next two days, We can give you after that.","told `` sir , room available next two days , give .",Positive
80,15,0,"For next days, kindly arrange other stay"".","next days , kindly arrange stay '' .",Positive
81,15,0,"When I asked, where I will go for two days, why can't they arrange for me.","asked , go two days , ca n't arrange .",Neutral
82,15,0,"They said "" Sir, Rooms are all booked, and I cannot arrange your stay for next two days, You have to it by yourself , I am sorry for the inconvenience caused.""","said `` sir , rooms booked , arrange stay next two days , , sorry inconvenience caused . ''",Negative
83,15,-1,What am I supposed to do now ??,supposed ? ?,Neutral
84,15,0,I checked out and then I didn't come back to hotel.,checked n't come back hotel .,Neutral
85,15,-1,This is how you treat your customer ??,treat customer ? ?,Neutral
86,15,0,"Right after two days, there duty manager called me up and said "" Your reservation has been made, Are you coming "".","right two days , duty manager called said `` reservation made , coming `` .",Positive
87,15,0,I gave him the nice reply.,gave nice reply .,Positive
88,15,0,"One of the ugliest reception with such a helpless attitude, I have ever seen.","one ugliest reception helpless attitude , ever seen .",Neutral
